  315 # Lines.
# Color     Move         Draw            Draw
#=====================================================
    1    -31 15 25	0 2 -1		-1 11 -13  
    1    20 42 26	0 -5 0		-41 43 -45  
    1    -27 31 -34	4 1 -4		-6 -13 -43  
    1    16 -45 -5	0 -5 -3		12 11 33  
    1    37 33 -24	0 2 0		-33 -17 3  
    3    -21 30 31	0 -5 -4		-25 -27 -16  
    1    44 20 25	-1 0 -1		-21 -42 15  
    1    11 6 2		0 -4 -3		-7 1 27  
    1    12 0 18	-2 1 -1		39 -16 -25  
    1    15 0 44	-4 -1 1		-4 10 -30  
    1    10 4 12	-2 -2 2		-32 -3 11  
    3    31 35 30	-1 3 -5		-16 -16 -17  
    1    -1 35 44	-1 -4 -3	31 3 -44  
    3    33 -8 -6	3 -2 -2		3 -28 -9  
    1    -34 34 -19	0 4 2		-41 -23 3  
    1    -25 -25 -37	-5 -3 5		-13 31 36  
    1    -34 -8 -4	3 2 0		19 3 29  
    1    24 -29 -1	0 1 -1		-43 30 -2  
    1    6 30 7		4 -5 1		-38 19 43  
    1    28 -11 27	-4 0 3		21 0 -45  
    3    36 41 -1	-5 -1 -2	-15 39 -29  
    1    18 40 27	1 3 -2		10 -18 30  
    1    38 37 -25	3 -4 -2		-17 -8 14  
    1    17 30 -8	0 4 -2		-38 0 42  
    1    13 -30 36	3 -2 -4		44 25 25  
    1    -3 16 -25	4 2 -4		5 6 7  
    1    -25 44 -27	-2 -1 0		27 -37 -10  
    1    35 -30 -7	0 -3 -3		-18 -13 21  
    3    19 -44 37	3 0 -2		-45 13 10  
    1    -18 22 -40	4 -2 3		-2 -8 44  
    1    9 2 22		-4 3 -1		-5 -3 -15  
    1    -29 -26 -10	-3 -3 0		-35 25 -5  
    1    13 -10 14	3 0 -3		33 1 -18  
    1    -10 -25 -37	-1 0 -4		-28 9 35  
    1    13 -7 -5	4 3 4		-13 3 19  
    1    32 1 6		1 0 -2		-15 -30 -7  
    3    24 9 -7	-1 -3 -3	0 -11 -24  
    1    25 -16 -36	-3 -4 1		-4 0 32  
    1    2 36 -25	0 0 -3		-29 28 -27  
    1    5 -31 32	0 2 3		-6 0 -12  
    1    11 -15 22	1 4 -2		1 -20 -35  
    1    31 25 -14	-1 2 3		-36 -7 37  
    1    29 8 31	4 -4 -2		-21 -8 -16  
    1    33 36 -8	1 0 0		6 -15 0  
    1    -7 16 -9	2 -3 0		18 12 -17  
    1    -8 25 15	0 -4 4		-23 22 18  
    1    27 -19 11	-1 4 2		9 -24 -36  
    1    37 -24 -21	1 -4 -2		-31 -1 25  
    1    3 -5 20	-2 2 -3		23 -36 6  
    1    10 2 -26	2 2 -1		-5 -28 17  
    1    -13 -35 -13	0 -3 3		9 -9 6  
    1    -18 8 10	-2 3 -2		-26 6 -14  
    1    24 12 -33	0 3 3		-12 23 4  
    1    15 20 0	-4 -3 3		11 24 -20  
    1    34 23 -35	3 0 -3		35 -33 15  
    1    31 0 36	1 -3 3		6 8 9  
    1    33 36 -10	-4 -4 3		3 34 8  
    1    -2 2 -7	-1 -1 -3	-35 28 6  
    1    0 -27 4	-4 4 2		3 28 3  
    1    5 36 31	-2 -2 -4	29 -13 -5  
    3    20 -17 -7	4 -3 4		37 -13 -7  
    3    -28 -22 -28	0 -1 0		20 33 -29  
    1    -22 -20 36	2 4 -1		-22 23 -35  
    1    34 -20 -11	1 1 -4		-6 -4 21  
    1    -17 25 22	-2 -1 0		-37 1 11  
    3    6 -1 36	0 0 -2		-32 -34 -20  
    3    21 28 -17	4 -2 2		-28 5 -18  
    1    0 4 -26	-1 0 4		17 -15 -2  
    3    -37 -9 -30	-4 -1 0		8 -37 -7  
    1    -31 -11 -36	-4 -1 4		-1 4 -37  
    1    35 -5 -17	3 0 4		-17 -9 37  
    1    -31 -7 23	0 -2 3		-9 -24 8  
    3    -34 35 -2	-3 2 -3		-6 21 -8  
    1    9 12 -3	0 -1 1		-10 -16 17  
    1    10 10 -29	1 -1 3		-18 -18 -18  
    1    23 -17 7	-2 2 0		-22 29 2  
    1    18 29 11	0 0 -3		13 28 -19  
    1    15 -5 21	1 3 3		1 -19 28  
    1    -30 17 22	-1 3 2		6 10 24  
    1    -4 -12 -5	0 0 -1		-27 3 14  
    1    -22 13 -22	-1 3 0		-25 -4 -22  
    1    -29 16 10	2 -1 3		16 11 -10  
    1    27 -21 -24	-3 0 0		-25 -7 4  
    3    -3 17 -29	-2 3 3		26 4 30  
    1    30 -29 -21	0 0 1		3 27 -12  
    1    9 -2 0		3 0 -2		-14 -19 4  
    1    25 11 -12	3 1 1		-26 9 -14  
    3    -17 -2 -22	0 -3 0		9 23 -25  
    1    -20 -13 20	-3 3 -1		-21 -24 -6  
    1    -25 -3 -5	0 2 -1		-23 17 10  
    1    -30 15 4	2 -2 2		20 26 24  
    1    -14 20 -30	-3 1 -2		-5 -23 -20  
    1    -8 29 29	3 2 -2		-27 29 12  
    3    6 -7 26	-2 0 1		-27 -27 17  
    1    16 -11 12	-2 -2 0		26 -10 -10  
    1    -19 13 10	-1 -3 3		-19 19 -20  
    1    -26 -15 2	1 1 2		4 -9 30  
    1    13 -23 20	0 2 2		17 -29 -25  
    1    4 -13 23	-3 3 -3		29 30 -26  
    1    8 -5 -29	1 -1 -3		5 -12 17  
    1    -4 -5 -20	2 0 3		18 1 -21  
    1    4 5 7		3 -1 0		-17 14 5  
    1    -4 -24 16	3 1 3		-1 30 -21  
    1    27 -29 -9	-2 -1 -1	-26 19 -27  
    1    -14 14 -29	2 -3 -2		4 6 -17  
    1    -14 -4 -25	3 -1 0		26 7 17  
    3    24 17 -13	-3 0 1		-10 2 0  
    1    26 11 12	-3 0 3		-24 29 -5  
    1    -23 8 -28	-1 -1 2		-21 20 -5  
    1    -1 5 -16	-3 2 1		-25 4 -22  
    1    19 -20 -7	-2 0 -1		-28 -9 10  
    1    1 12 20	0 -3 0		-3 24 -19  
    1    14 -26 -30	1 0 -1		-29 -24 -11  
    1    -6 -13 -19	2 2 2		-8 -20 21  
    1    6 -30 -10	2 -3 2		12 16 24  
    1    -22 20 -2	0 0 3		16 18 -19  
    1    13 1 23	-2 0 -1		23 -27 -18  
    1    -18 4 2	-2 -1 0		28 -15 -26  
    1    -22 10 23	0 2 0		0 24 -29  
    1    30 -9 -3	3 0 -1		-26 -9 -25  
    1    -30 9 24	2 -2 -1		-22 6 -18  
    1    10 -25 -20	0 -2 -1		-26 -15 -19  
    1    4 8 22		1 1 -2		22 -15 11  
    1    -9 6 3		1 1 2		8 10 3  
    1    -18 17 -22	-2 0 0		13 -13 0  
    1    -14 9 -2	0 -2 -1		13 -22 14  
    1    9 -14 -8	2 0 1		-21 0 4  
    1    9 4 3		0 0 1		15 -2 22  
    1    -16 -17 11	0 2 -2		-9 2 -4  
    1    10 11 18	-1 -2 1		-9 22 11  
    1    -16 -12 6	2 1 -1		15 -17 -12  
    3    -11 -22 2	0 2 -2		17 -19 2  
    3    -2 11 -15	-2 0 -1		-20 19 -20  
    1    10 11 -20	1 1 -1		0 21 1  
    1    -6 -21 14	2 -1 -1		-2 -10 -7  
    1    -15 7 3	0 1 -1		-17 -4 -21  
    3    -21 5 -18	0 -1 2		-17 6 17  
    1    17 9 19	1 1 -2		0 -4 0  
    1    0 17 -8	0 0 -1		-16 12 -16  
    1    4 -9 11	-1 0 1		5 4 -16  
    1    -19 5 20	0 0 1		3 5 12  
    3    -15 -17 -5	0 0 2		-7 8 -7  
    3    -16 -9 5	2 0 0		-2 11 12  
    1    -20 22 17	0 1 0		-15 16 9  
    1    4 -2 -14	-1 -1 0		22 -11 -1  
    1    12 -18 -12	-2 2 2		14 -8 -14  
    1    -19 1 -16	0 0 -2		-21 19 7  
    1    15 11 -12	0 -1 -1		-21 18 12  
    1    -12 9 -10	-1 2 1		5 11 -7  
    1    -8 -10 -9	0 -1 0		6 19 -11  
    1    19 -20 11	-1 -1 0		11 -2 20  
    3    -20 -6 20	-1 0 0		21 4 -18  
    1    -7 -11 -12	0 -1 -1		0 -22 -1  
    1    12 5 16	1 0 -2		-11 13 -1  
    1    -10 -21 1	0 1 2		-17 1 2  
    3    21 2 12	0 -2 0		-18 -12 -6  
    3    -22 19 21	0 -2 1		6 -17 3  
    1    -1 -13 -9	0 0 -1		-9 16 7  
    1    -10 -15 3	0 2 0		-5 9 2  
    1    14 -4 -12	-1 0 -2		-8 -10 1  
    1    -14 15 -20	2 1 0		-15 0 -10  
    1    3 2 -11	0 0 -1		-18 14 -9  
    3    -3 21 17	0 -1 -1		17 -8 9  
    1    -5 -5 -18	-2 0 2		0 -5 11  
    1    0 -17 13	2 -1 2		13 -18 8  
    1    -21 4 16	1 -1 1		14 0 9  
    1    -17 3 14	0 0 0		18 -2 -4  
    1    5 -8 -12	0 -1 1		-8 -8 -11  
    1    -8 11 7	2 1 -1		10 15 -7  
    1    22 13 -11	1 -1 -2		-5 9 -17  
    1    13 -4 3	0 0 0		8 -18 20  
    1    -7 16 -7	2 0 -1		-8 18 -3  
    1    -13 -8 -19	0 1 -2		-21 20 -17  
    1    21 8 12	-2 -2 -1	16 2 -2  
    3    -18 -4 22	1 -2 -2		-3 6 -10  
    3    10 -22 -1	0 2 0		1 8 -11  
    3    -4 -2 3	1 0 0		-12 7 7  
    3    -7 0 13	-2 -2 0		-12 -20 1  
    1    -12 -7 6	-1 0 0		5 -8 -12  
    1    12 -2 14	0 0 0		-9 -4 4  
    1    3 7 4		0 0 0		15 9 6  
    3    13 14 -3	0 1 1		-2 4 7  
    1    -9 -8 -14	0 0 -1		0 -15 11  
    1    11 -11 -9	0 1 -1		12 -15 9  
    1    13 -6 12	0 1 1		5 13 -7  
    1    8 -14 15	1 0 0		-10 5 0  
    1    6 -2 7		0 0 -1		13 5 -2  
    1    0 0 -6		0 0 -1		-9 -4 5  
    1    0 8 14		-1 -1 1		-14 0 15  
    1    -15 11 -1	0 1 0		-11 -5 -10  
    1    9 11 10	1 0 -1		-15 1 3  
    1    -10 14 14	0 0 1		4 13 4  
    1    0 10 4		-1 0 0		5 0 -15  
    1    8 -6 -4	-1 0 -1		-7 0 2  
    1    -4 -1 0	0 0 0		13 -15 -8  
    1    -11 -9 3	-1 0 0		2 0 4  
    1    -6 -6 -11	-1 0 0		4 -14 15  
    1    4 -13 8	0 1 -1		-1 -6 -6  
    1    12 13 -7	0 0 0		0 0 1  
    1    -8 -1 -9	0 0 1		0 6 8  
    1    -7 -9 0	0 1 0		7 9 11  
    1    -1 9 9		0 1 -1		-4 -13 12  
    1    10 8 11	-1 0 1		10 -11 7  
    1    -12 3 15	0 0 -1		13 14 -14  
    1    -10 -4 -12	0 -1 -1		0 -7 9  
    1    -15 8 0	0 -1 1		-8 15 1  
    1    2 -1 5		-1 -1 0		5 0 0  
    1    -5 12 -10	1 -1 0		-5 -3 -4  
    1    -6 8 14	1 0 1		0 -15 -2  
    1    9 6 1		-1 0 -1		7 15 3  
    1    12 7 13	1 1 -1		1 -14 -14  
    3    8 -2 -7	1 -1 0		11 -3 0  
    1    -13 -2 0	0 -1 1		8 -1 10  
    1    3 -5 11	1 0 1		14 9 7  
    1    -7 12 -4	-1 0 1		-3 -14 -1  
    1    7 12 2		0 -1 -1		-13 8 15  
    1    -9 -6 14	1 1 0		15 9 15  
    1    -2 -3 -1	0 0 -1		-1 3 4  
    1    -10 4 -4	0 0 0		15 -13 -5  
    1    15 3 1		1 0 1		-4 -2 -5  
    3    -6 -10 1	1 1 1		6 3 12  
    1    1 -14 -8	0 0 0		8 5 -3  
    1    15 -15 -3	0 0 0		5 4 2  
    1    11 3 -12	1 0 -1		3 11 -5  
    1    0 -11 0	0 -1 1		0 -8 -1  
    1    10 -6 -3	1 1 0		15 10 -6  
    1    13 1 6		0 -1 0		12 -15 8  
    3    12 10 5	0 1 0		15 -13 0  
    3    1 12 -15	0 0 0		14 -1 1  
    3    -10 11 -2	1 1 0		6 8 -14  
    1    -5 9 -7	0 1 -1		-15 -2 -6  
    1    5 1 -3		0 -1 1		3 10 1  
    1    -6 -7 5	0 -1 0		11 3 3  
    1    0 3 -1		0 0 -1		-9 -1 -2  
    3    9 -6 10	-1 0 1		5 10 -9  
    1    0 2 -2		0 1 0		9 -15 8  
    1    0 -4 2		-1 -1 -1	-5 -13 -6  
    1    12 12 -5	-1 1 0		8 11 4  
    1    12 0 0		0 0 -1		2 -9 -6  
    1    -9 -6 9	1 0 0		-6 -9 7  
    1    -1 -4 -8	0 -1 -1		7 7 4  
